Location,CEast,CNorth,StationCode,Sample Date,SampleTime,MethodCode,OrganismCode,MarkCode,TagCode,RaceByTag,Fork Length,HeadNumber,CWTCount,Secchi,WaterTemperature
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055547,LateFall,142,3040,1,0.17,12.9
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055545,LateFall,137,3058,1,0.17,12.9
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055548,LateFall,120,3070,1,0.17,12.9
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055542,LateFall,187,3084,1,0.17,12.9
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055542,LateFall,178,3115,1,0.17,12.9
Garcia Bend,627192,4259597,SR049E,12/4/12,7:28,SEIN,CHN,AdClipped,055543,LateFall,169,3124,1,,12.9
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055541,LateFall,188,3126,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055542,LateFall,154,3127,1,0.17,12.9
Sherwood Harbor,628707,4265965,SR055M,12/5/12,8:41,KDTR,CHN,AdClipped,055543,LateFall,140,3168,1,0.15,13
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055538,LateFall,125,3169,1,0.17,12.9
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055542,LateFall,123,11147,1,0.17,12.9
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055547,LateFall,170,11180,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/7/12,12:18,KDTR,CHN,AdClipped,055549,LateFall,175,11183,1,0.12,12.3
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055549,LateFall,125,25958,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055543,LateFall,139,25960,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055549,LateFall,122,25961,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/7/12,8:49,KDTR,CHN,AdClipped,055547,LateFall,158,25963,1,0.13,12.2
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055537,LateFall,152,25971,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055547,LateFall,169,25972,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055550,LateFall,109,25974,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,9:10,KDTR,CHN,AdClipped,055545,LateFall,161,25975,1,0.17,12.9
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055547,LateFall,129,25985,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055549,LateFall,156,25986,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055545,LateFall,158,25987,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,14:00,KDTR,CHN,AdClipped,055547,LateFall,178,25988,1,0.11,12.8
Sherwood Harbor,628707,4265965,SR055M,12/3/12,8:42,KDTR,CHN,AdClipped,055547,LateFall,109,25989,1,0.14,12.9
Garcia Bend,627192,4259597,SR049E,12/4/12,7:28,SEIN,CHN,AdClipped,055548,LateFall,98,28024,1,,12.9
Clarksburg,629188,4249338,SR043W,12/26/12,7:37,SEIN,CHN,AdClipped,055544,LateFall,187,28025,1,,8.5
Clarksburg,629188,4249338,SR043W,1/17/13,9:36,SEIN,CHN,AdClipped,055537,LateFall,130,28148,1,,6.7
Clarksburg,629188,4249338,SR043W,1/10/13,7:31,SEIN,CHN,AdClipped,055541,LateFall,96,28149,1,,7.9
Chipps Island,595531,4211218,SB018M,4/19/13,7:50,MWTR,CHN,AdClipped,060462,Spring,105,29333,1,0.42,15.9
Chipps Island,595531,4211218,SB018N,4/8/13,9:32,MWTR,CHN,AdClipped,NT,,84,29335,1,0.38,16.4
Chipps Island,595531,4211218,SB018M,4/19/13,7:50,MWTR,CHN,AdClipped,060463,Spring,100,29338,1,0.42,15.9
Chipps Island,595531,4211218,SB018M,4/19/13,7:50,MWTR,CHN,AdClipped,060462,Spring,86,29340,1,0.42,15.9
Chipps Island,595531,4211218,SB018M,4/19/13,7:50,MWTR,CHN,AdClipped,060480,Fall,90,29424,1,0.42,15.9
Chipps Island,595531,4211218,SB018S,4/29/13,11:08,MWTR,CHN,AdClipped,055596,Fall,86,29425,1,0.29,17.9
Chipps Island,595531,4211218,SB018N,4/8/13,9:32,MWTR,CHN,AdClipped,NT,,91,29426,1,0.38,16.4
Chipps Island,595531,4211218,SB018N,12/7/12,9:15,MWTR,CHN,AdClipped,055549,LateFall,149,29427,1,0.28,13.1
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055608,Fall,80,29667,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,10:38,MWTR,CHN,AdClipped,060463,Spring,92,29911,1,0.88,17.2
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055608,Fall,80,29912,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,99,29913,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/17/13,8:35,MWTR,CHN,AdClipped,060463,Spring,93,29914,1,0.83,15.8
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,96,29915,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:28,MWTR,CHN,AdClipped,055598,Fall,81,29916,1,0.88,15.5
Sherwood Harbor,628707,4265965,SR055M,4/15/13,10:38,MWTR,CHN,AdClipped,060463,Spring,91,29917,1,0.88,17.2
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055596,Fall,78,29923,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,90,29924,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055598,Fall,82,29925,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,055596,Fall,79,29926,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,103,29927,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,95,29929,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,86,29930,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055597,Fall,87,29931,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,85,29937,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055608,Fall,83,29938,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055608,Fall,78,29939,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,90,29940,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/17/13,8:35,MWTR,CHN,AdClipped,060463,Spring,94,29941,1,0.83,15.8
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:13,MWTR,CHN,AdClipped,060463,Spring,86,29942,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,90,29943,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/15/13,10:38,MWTR,CHN,AdClipped,060463,Spring,90,29944,1,0.88,17.2
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,92,29945,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,060463,Spring,91,29960,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055597,Fall,83,29968,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,95,29969,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,NT,,90,29970,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,97,29971,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,060463,Spring,93,29972,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,92,29973,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055593,Fall,80,29979,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:28,MWTR,CHN,AdClipped,060463,Spring,98,29980,1,0.88,15.5
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055597,Fall,85,29981,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/19/13,7:44,MWTR,CHN,AdClipped,055597,Fall,84,29982,1,0.72,15.9
Sherwood Harbor,628707,4265965,SR055M,4/15/13,12:00,MWTR,CHN,AdClipped,060463,Spring,91,29983,1,0.89,17.4
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055593,Fall,78,29984,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,060463,Spring,90,29985,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,82,29986,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,96,29987,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:30,MWTR,CHN,AdClipped,NT,,90,30009,1,0.9,17.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,060463,Spring,88,30010,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/17/13,9:01,MWTR,CHN,AdClipped,055597,Fall,86,30011,1,0.85,15.4
Sherwood Harbor,628707,4265965,SR055M,4/15/13,11:03,MWTR,CHN,AdClipped,NT,,96,30012,1,0.9,17.3
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,91,30014,1,0.87,17.2
Sherwood Harbor,628707,4265965,SR055M,4/15/13,9:40,MWTR,CHN,AdClipped,060463,Spring,90,30015,1,0.87,17.2
