YearCode,CatchLocation,StationCode,SampleDate,SampleTime,MethodCode,OrganismCode,MarkCode,TagCode,RaceByTag,ForkLength,HeadNumber,CWTCount,IDnumbers
9,,CVP,3/4/09,6:00,,CHN,AdClipped,053474,Winter,111,CVP3186,1,9-CVP3186
9,,CVP,3/4/09,16:00,,CHN,AdClipped,053464,Winter,108,CVP3194,1,9-CVP3194
9,,CVP,3/15/09,23:59,,CHN,AdClipped,054025,Winter,113,CVP3062,1,9-CVP3062
9,,CVP,3/17/09,8:00,,CHN,AdClipped,054024,Winter,111,CVP3171,1,9-CVP3171
9,,CVP,3/18/09,10:00,,CHN,AdClipped,054028,Winter,120,CVP3021,1,9-CVP3021
9,,CVP,3/25/09,19:30,,CHN,AdClipped,054174,Winter,111,CVP3081,1,9-CVP3081
9,,CVP,4/2/09,8:00,,CHN,AdClipped,0608000205,Fall,89,CVP3206,1,9-CVP3206
9,,SB018S,2/20/09,10:56,,CHN,AdClipped,054173,Winter,116,26823,1,9-26823
9,,SB018S,3/25/09,11:13,,CHN,AdClipped,054025,Winter,100,26950,1,9-26950
9,,SB018M,3/25/09,12:58,,CHN,AdClipped,054025,Winter,102,26977,1,9-26977
9,,SB018S,4/10/09,11:07,,CHN,AdClipped,0608000200,Fall,86,26954,1,9-26954
11,Chipps Island,SB018S,3/21/11,7:40,MWTR,CHN,AdClipped,054090,Winter,113,32930,1,11-32930
11,Chipps Island,SB018S,3/28/11,7:39,MWTR,CHN,AdClipped,054089,Winter,114,32978,1,11-32978
11,Chipps Island,SB018M,4/18/11,8:08,MWTR,CHN,AdClipped,055271,Winter,114,27646,1,11-27646
11,Chipps Island,SB018S,4/22/11,7:35,MWTR,CHN,AdClipped,068747,Spring,88,27743,1,11-27743
11,Sherwood Harbor,SR055M,4/22/11,12:38,MWTR,CHN,AdClipped,060807080307,Fall,65,31570,1,11-31570
11,Sherwood Harbor,SR055M,4/27/11,9:59,MWTR,CHN,AdClipped,068748,Spring,68,31497,1,11-31497
11,Sherwood Harbor,SR055M,4/27/11,11:14,MWTR,CHN,AdClipped,068748,Spring,89,31494,1,11-31494
11,Sherwood Harbor,SR055M,4/27/11,11:14,MWTR,CHN,AdClipped,068748,Spring,90,31466,1,11-31466
11,Sherwood Harbor,SR055M,4/27/11,11:14,MWTR,CHN,AdClipped,068748,Spring,110,31467,1,11-31467
11,Sherwood Harbor,SR055M,4/27/11,11:14,MWTR,CHN,AdClipped,068748,Spring,92,31480,1,11-31480
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,70,29496,1,11-29496
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,80,29495,1,11-29495
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,84,29494,1,11-29494
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,85,29508,1,11-29508
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,86,29511,1,11-29511
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,87,29507,1,11-29507
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,88,29373,1,11-29373
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,89,29497,1,11-29497
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,92,29484,1,11-29484
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,98,29512,1,11-29512
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,70,29480,1,11-29480
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,76,29498,1,11-29498
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,78,29482,1,11-29482
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,84,29510,1,11-29510
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,85,29485,1,11-29485
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,86,29388,1,11-29388
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,86,29402,1,11-29402
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,90,29481,1,11-29481
11,Elkhorn,SR071E,4/28/11,15:43,SEIN,CHN,AdClipped,068748,Spring,90,29509,1,11-29509
11,Chipps Island,SB018M,4/29/11,10:11,MWTR,CHN,AdClipped,068748,Spring,86,32972,1,11-32972
11,Chipps Island,SB018N,4/29/11,11:04,MWTR,CHN,AdClipped,068748,Spring,100,33369,1,11-33369
11,Chipps Island,SB018N,4/29/11,11:30,MWTR,CHN,AdClipped,068748,Spring,90,33327,1,11-33327
11,Chipps Island,SB018S,4/29/11,7:43,MWTR,CHN,AdClipped,068748,Spring,86,33158,1,11-33158
11,Sherwood Harbor,SR055M,4/29/11,8:04,MWTR,CHN,AdClipped,068748,Spring,88,31057,1,11-31057
11,Sherwood Harbor,SR055M,4/29/11,8:29,MWTR,CHN,AdClipped,068748,Spring,80,31102,1,11-31102
11,Sherwood Harbor,SR055M,4/29/11,8:29,MWTR,CHN,AdClipped,068748,Spring,82,31325,1,11-31325
11,Sherwood Harbor,SR055M,4/29/11,8:29,MWTR,CHN,AdClipped,068748,Spring,89,31103,1,11-31103
11,Sherwood Harbor,SR055M,4/29/11,9:53,MWTR,CHN,AdClipped,068748,Spring,80,32448,1,11-32448
11,Sherwood Harbor,SR055M,4/29/11,9:53,MWTR,CHN,AdClipped,068748,Spring,104,29283,1,11-29283
11,Sherwood Harbor,SR055M,4/29/11,10:36,MWTR,CHN,AdClipped,068748,Spring,90,31043,1,11-31043
11,Sherwood Harbor,SR055M,4/29/11,11:30,MWTR,CHN,AdClipped,068748,Spring,88,31095,1,11-31095
11,Sherwood Harbor,SR055M,4/29/11,11:30,MWTR,CHN,AdClipped,068748,Spring,89,31050,1,11-31050
11,Sherwood Harbor,SR055M,4/29/11,11:30,MWTR,CHN,AdClipped,068748,Spring,89,31064,1,11-31064
