13-HEADNO,13-29914,13-30023,13-30439,13-32240,13-32291,13-32354,13-32409,13-34116,13-34207,13-34250,13-34297,13-35829,13-35933,13-36828,13-37188,13-37238,13-38023,13-38124,13-38172,13-38316,13-38361,13-38404,13-38447,13-38490,13-38535,13-38580,13-38991,13-39036,13-39079,13-39230,13-39375
13-3040,13-29915,13-30024,13-30440,13-32241,13-32292,13-32355,13-32410,13-34122,13-34208,13-34251,13-34298,13-35830,13-35934,13-36870,13-37189,13-37239,13-38024,13-38125,13-38173,13-38317,13-38362,13-38405,13-38448,13-38491,13-38536,13-38581,13-38992,13-39037,13-39080,13-39231,13-39379
13-3058,13-29916,13-30025,13-30442,13-32242,13-32296,13-32356,13-32411,13-34130,13-34209,13-34252,13-34300,13-35831,13-35935,13-36896,13-37190,13-37240,13-38025,13-38126,13-38174,13-38318,13-38363,13-38406,13-38449,13-38492,13-38537,13-38582,13-38993,13-39038,13-39081,13-39232,13-39380
13-3070,13-29917,13-30026,13-30443,13-32243,13-32296,13-32357,13-32412,13-34143,13-34210,13-34253,13-34301,13-35832,13-35936,13-36910,13-37191,13-37242,13-38036,13-38127,13-38175,13-38319,13-38364,13-38407,13-38450,13-38493,13-38538,13-38583,13-38994,13-39039,13-39082,13-39299,13-39381
13-3084,13-29923,13-30027,13-30444,13-32244,13-32297,13-32358,13-32413,13-34157,13-34211,13-34254,13-34302,13-35833,13-35937,13-36911,13-37192,13-37243,13-38037,13-38128,13-38176,13-38320,13-38365,13-38408,13-38451,13-38494,13-38539,13-38584,13-38995,13-39040,13-39083,13-39300,13-39382
13-3115,13-29924,13-30028,13-30451,13-32245,13-32298,13-32359,13-32414,13-34162,13-34212,13-34255,13-34303,13-35841,13-35938,13-36923,13-37194,13-37244,13-38039,13-38129,13-38177,13-38321,13-38366,13-38409,13-38452,13-38495,13-38540,13-38586,13-38996,13-39041,13-39084,13-39301,13-39413
13-3124,13-29925,13-30037,13-30452,13-32246,13-32299,13-32360,13-32416,13-34163,13-34213,13-34256,13-34304,13-35842,13-36442,13-36935,13-37195,13-37245,13-38050,13-38133,13-38178,13-38322,13-38367,13-38410,13-38453,13-38496,13-38541,13-38591,13-38997,13-39042,13-39085,13-39302,13-39414
13-3126,13-29926,13-30038,13-30453,13-32247,13-32300,13-32365,13-32420,13-34164,13-34214,13-34257,13-34306,13-35843,13-36506,13-36983,13-37197,13-37246,13-38051,13-38134,13-38179,13-38323,13-38368,13-38411,13-38454,13-38497,13-38542,13-38605,13-38998,13-39043,13-39086,13-39313,13-39415
13-3127,13-29927,13-30039,13-30457,13-32248,13-32301,13-32366,13-32421,13-34165,13-34215,13-34258,13-34308,13-35844,13-36520,13-36986,13-37198,13-37247,13-38059,13-38135,13-38180,13-38324,13-38369,13-38411,13-38455,13-38498,13-38543,13-38638,13-38999,13-39044,13-39087,13-39314,13-39416
13-3168,13-29929,13-30040,13-30459,13-32249,13-32302,13-32367,13-32422,13-34166,13-34216,13-34259,13-34309,13-35845,13-36538,13-36996,13-37199,13-37248,13-38064,13-38136,13-38181,13-38325,13-38370,13-38412,13-38456,13-38499,13-38544,13-38652,13-39000,13-39045,13-39088,13-39315,13-39417
13-3169,13-29930,13-30041,13-30460,13-32253,13-32308,13-32368,13-32423,13-34167,13-34217,13-34260,13-34310,13-35846,13-36539,13-37006,13-37200,13-37249,13-38065,13-38137,13-38182,13-38326,13-38371,13-38413,13-38457,13-38500,13-38545,13-38737,13-39001,13-39046,13-39089,13-39316,13-39418
13-11147,13-29931,13-30042,13-30466,13-32254,13-32309,13-32369,13-32424,13-34168,13-34218,13-34261,13-34311,13-35847,13-36540,13-37007,13-37201,13-37250,13-38067,13-38138,13-38183,13-38327,13-38372,13-38414,13-38458,13-38501,13-38546,13-38748,13-39002,13-39047,13-39090,13-39317,13-39419
